Store ID,Agent,Tenure,Payemnt Info [ System Rentals ] [ FoodHub ],Payemnt Info [ System Rentals ] [ Datman ],Mandate,System Type,Subscribed Tech,Gpin Status,Competitor Name,Number of Google Reviews,Any visible issue with the page?,Google Rating,Google page issue,Food Delivery platforms,Other POS Providers,Others,Avverage Online,Offline Online
820778,Hossam,5.1,6,17,Deactivated,APOS,APP,Unverified,OrderYoYo,59,No,3.2,,None visible,Order YOYO,,3,0
487,Ibrahim,14,21,25,Active,EPOS,APP,Verified,,423,No,3.1,,"Just Eat, Uber Eats",None,,4,0
6062,Kareem,10.3,10,20,Active,EPOS,None,Unverified,,2905,Yes,4.9,You have been blocked,None visible,None,,4,95
802807,Ibrahim,6.4,7,18,Active,EPOS,None,Unverified,action prompt,64,No,4,,"Just Eat, Deliveroo",Action prompt / Feed Me Online,,4,0
805956,Tarek,6.1,7,18,Deactivated,APOS,"PDQ, APP",Unverified,FMO,124,No,3.2,,Deliveroo,Others,,4,0
811833,Ibrahim,5.7,5,17,Deactivated,EPOS,None,Unverified,Street webdesign,814,No,4.7,,None visible,Others,Street-webdesign,4,0
843909,Kareem,4.4,0,0,Deactivated,APOS,None,Verified,,282,No,4.6,,"Uber Eats, Deliveroo",None,,4,0
844474,Kareem,4.4,0,0,Deactivated,APOS,None,Unverified,feed me online,34,No,4,,"Just Eat, Uber Eats",Action prompt / Feed Me Online,,4,0
800430,Hossam,6.7,2,12,Active,EPOS,"PDQ, APP, Third party integration",Unverified,BookyUp,188,No,3.7,,"Just Eat, Uber Eats, Deliveroo",Others,BookyUp,5,18
803579,Hossam,6.2,0,0,Active,APOS,"PDQ, APP",Unverified,FMO / ActionPrompt,35,No,3.7,,"Just Eat, Uber Eats, Deliveroo",Action prompt / Feed Me Online,,5,0
799372,Kareem,6.9,2,10,Active,APOS,APP,Unverified,,98,Yes,3.4,"Sorry, you have been blocked",Uber Eats,Others,KUKD.com,5,0
807249,Ibrahim,5.11,6,12,Deactivated,EPOS,None,Verified,,366,No,3.1,,None visible,None,,5,0
809305,Tarek,5.9,7,18,Active,APOS,PDQ,Unverified,not find,190,No,4.5,,Deliveroo,None,,5,18
811123,Tarek,5.7,0,0,Deactivated,EPOS,None,Verified,,23,No,3.1,,"Just Eat, Uber Eats",First Choice,,5,0
811922,Tarek,5.6,7,18,Active,APOS,None,Unverified,FMO,108,No,4.3,,Other,Others,,5,0
815531,Kareem,5.4,7,18,Active,APOS,None,Verified,,123,No,4,,"Just Eat, Uber Eats",None,,5,0
824773,Kareem,5,6,12,Active,APOS,APP,Verified,,231,No,4.7,,None visible,None,,5,0
